A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S	T	U	V	W	X	Y	Z
Ababkov	Babayev	Chadov	Danilevsky	Efremenkov	Fadeyev	Gabarayev		Ignatov		Kabalevsky	Ladygin	Maglevannaya	Nabokov	Obleukhov	Pakhomov		Rabinovich	Sabaneyev	Taimanov	Ugarov	Vaganov			Yaglom	Zabolotskaya
Abakumov	Babichev	Chagin	Danilin	Eldarov	Fandorin	Gabulov		Ignatyev		Kabanov	Lapikov	Makarov	Nad	Obmochaev	Palatnik		Rachkovsky	Sabanov	Talanov	Umnov	Vagin			Yagoda	Zadornov
Abalkin	Babikov	Chanov	Danilochkin	Emelin	Farkhutdinov	Gagarin		Igoshin		Kadyrov	Lapin	Makeyev	Nagayev	Obraztsov	Palkin		Rachmaninoff	Sablin	Taneyev	Urusov	Vakhovsky			Yakimov	Zadorov
Abashev	Babkin	Chebotaryov	Danilov	Ermolaev	Fayzulin	Gaidukov		Igumnov		Kakhovsky	Lapshin	Makhnev	Nagovitsyn	Obrosov	Pamfilov		Radulov	Saburov	Tarabrin	Usachyov	Valuev			Yakovlev	Zadov
Abashin	Baburin	Chekanov	Daudov	Ermolayev	Fedin	Galakhov		Ilinykh		Kalashnikov	Larionov	Maklakov	Namestnikov	Obukhov	Panarin		Rakovsky	Sadovnichy	Taranov	Usatov	Vaneyev			Yakunin	Zaikin
Abashkin	Babushkin	Chekhov	Davidovich		Fedoseyev	Galanov		Ilyin		Kalinin	Latsis	Maksutov	Nasonov	Obukhovsky	Pankin		Rashchupkin	Safonov	Tarasov	Ushenin	Varziyev			Yakupov	Zakharchenko
Abaturov	Baganov	Chekin	Dedov		Fedosov	Galitsky		Ilyukhin		Kalinskaya	Lavrentyev	Malakhov	Naumkin	Odintsov	Panov		Raskatov	Safronov	Tarkhanov	Ushkov	Vasilchenko			Yakushev	Zakharenko
Abayantsev	Baikin	Chekunov	Dementyev		Fedotov	Galkin		Imrekov		Kalitvintsev	Lavrov	Maleev	Naumov	Ogarev	Panteleyev		Raskolnikov	Sakharov	Tarnovsky	Ustinov	Vasilev			Yakushin	Zakharevich
Abaza	Bakatin	Chelomey	Demyanov		Fedulov	Galushka		Inarkiev		Kalmykov	Lavrukhin	Maleyev	Navrozov	Ogarkov	Paramonov		Raskolnikov	Saleev	Tatarinov	Ustinova	Vasilevsky			Yampolsky	Zakharov
Abbakumov	Bakov	Cherednik	Denezhkin		Feofanov	Galyamov		Inozemtsev		Kaloshin	Lebedenko	Malgin	Naydenov	Ogiyenko	Parshin		Raspopov	Salmanov	Tchaikovsky	Ustyugov	Vasilyev			Yanowsky	Zamolodchikov
Abdrazakov	Bakulin	Cherenkov	Derevyanko		Filatov	Garanin		Ipatov		Kalugin	Lebedev	Malikov	Nazarov	Ogorodnikov	Pashin		Rasputin	Salnikov	Telegin	Utkin	Vasin			Yaroslavtsev	Zatonsky
Abdulayev	Bakunin	Cherkashin	Dergachyov		Filimonov	Gataullin		Isakov		Kalyayev	Ledovskoy	Malinin	Nechayev	Ogryzko	Pashkevich		Rastorguyev	Samarin	Terentyev	Utsiyev	Vasyanovich			Yartsev	Zatsepin
Abdulin	Balabin	Cherkasov	Deriglazov		Filin	Gavrikov		Isayev		Kamanin	Leonidov	Malkin	Nedelko	Ogryzkov	Paskevich		Rebrov	Samokhin	Tereshkov	Uvarov	Vasyutin			Yashin	Zavarov
Abdullayev	Balakhnichev	Chernikov	Derzhavin		Filippov	Gavrilin		Ishutin		Kamensky	Leonov	Malkov	Nekrasov	Ogurenkov	Pasternak		Redkin	Samokhvalov	Tereshkova		Vatutin			Yashkin	Zavarzin
Abdullin	Balakhnin	Chernyaev	Devlekar		Firsov	Gavrilov		Istomin		Kamkin	Leontyev	Malkovich	Nelyubov	Ogurtsov	Patrikeyev		Remizov	Samoylov	Teryoshkin		Vavilov			Yatchenko	Zavozin
Abdulov	Balandin	Chernyak	Devyatkin		Fokin	Gayev		Ivakin		Kamsky	Lepin	Malofeyev	Nemtsev	Oktyabrsky	Patrushev		Repin	Samsonov	Teterev		Vdovin			Yefimov	Zavyalov
Ablakatov	Baldin	Chernyshov	Dmitriev-Mamonov		Fomenkov	Gefter		Ivankov		Kanishchev	Lepyokhin	Maltsev	Nemtsov	Olenev	Pautov		Reshetnikov	Sannikov	Tikhomirov		Vedernikov			Yefremov	Zayev
Ableukhov	Baluev	Chernyshyov	Dobrolyubov		Fomichyov	Gelfand		Ivanoff		Kanunnikov	Lesnoy	Malyarov	Nenashev	Olyunin	Pavlichenko		Rezanov	Sapozhnikov	Tikhonov		Vekshin			Yegorov	Zaytsev
Abramov	Balykin	Chertkov	Dobrovolsky		Fomin	Geller		Ivanov		Kanygin	Levina	Malygin	Nepryaev	Onuchin	Pavlov		Reznikov	Saprykin	Timashev		Velichko			Yelagin	Zeitlin
Abramtsev	Barabanov	Chertok	Dobrynin		Fominykh	Generalov		Ivanovsky		Kapitonov	Levitin	Malykhin	Nesterov	Orechov	Pavlukhin		Rochev	Sapunov	Timiryazev		Velikanov			Yelchin	Zelenin
Abrasimov	Baranov	Chervotkin	Dokuchayev		Forshev	Gerasimov		Ivashov		Kapralov	Levshin	Malyshkin	Nevolin	Orekhov	Pavlyuchenkova		Rodin	Saradzhev	Timofeyev		Vengerov			Yeliseyev	Zelensky
Abrikosov	Barantsev	Chervyakov	Dolgikh		Frolov	Gershkovich		Ivlev		Kapranov	Lezhnev	Malyukov	Nevzorov	Oreshkin	Penkin		Rodionov	Sarnova	Timonin		Verbitsky			Yelistratov	Zemlin
Abrosimov	Barinov	Cheryshev	Dolgopolov		Fromkin	Gessen		Izotov		Kapusta	Likhachyov	Mamatov	Niemirowski	Orlov	Pepelyaev		Roginsky	Sarychev	Tishkov		Vereshchagin			Yelizarov	Zemskov
Abroskin	Barkov	Chesnokov	Dolmatov		Fromkina	Gladkov				Kapustin	Lipatov	Mambetov	Nifontov	Orlowski	Perevalov		Rogozhin	Savelyev	Titov		Veretennikov			Yeltsin	Zenin
Abubekov	Barsky	Chichagov	Donskoy		Frumkin	Gladyshev				Karamzin	Lipin	Mamonov	Nikiforov	Osinsky	Pereverzev		Rogozhkin	Savenkov	Tkachyov		Verlinsky			Yemelyanov	Zentsov
Abukhovich	Barsukov	Chicherin	Dorokhin		Furtsev	Glagolev				Karaulov	Lipkin	Mamontov	Nikishin	Osintsev	Permyakov		Rokhlin	Savichev	Tochilin		Vershinin			Yepifanov	Zernov
Abysov	Bartenev	Chirkin	Doronin		Fyodorov	Glavatskikh				Karavayev	Lipnitsky	Mamykin	Nikitin	Osipov	Perov		Roldugin	Savin	Todorovsky		Veselkin			Yeremeyev	Zhabotinsky
Abyzov	Baryatinsky	Chirkov	Doroshevich			Glazkov				Karazin	Lisin	Manakov	Nikolayev	Oskolkov	Pershin		Romantsev	Savinkov	Tokarev		Veselov			Yermakov	Zharkov
Adam	Baryshev	Chistov	Dostoevsky			Glazunov				Karelin	Lisitsyn	Margelov	Nikolsky	Osokin	Pervukhin		Romashin	Savinov	Tolkunov		Veselovsky			Yermolaev	Zhdanov
Adamchik	Baryshnikov	Chizhevsky	Dronin			Glebov				Karpov	Lisunov	Marinin	Nikonorov	Ostrovsky	Pervushin		Rostovtsev	Savkin	Tolmachyov		Vesnin			Yermolayev	Zhelanov
Adamchuk	Bashilov	Chizhikov	Dronov			Glinka				Karpukhin	Litvin	Markelov	Nikonov	Ovchinnikov	Peshkov		Rozanov	Savvin	Tolokonnikov		Vetrov			Yermoshin	Zhemchuzhnikov
Adamenko	Bashirov	Chopade	Drozd			Glushakov				Kartashov	Litvinov	Markov	Nizamutdinov	Ovechkin	Peskov		Rozhkov	Sechin	Tolpygo		Vikhlyantseva			Yerofeyev	Zherebtsov
Adamets	Bashkin	Chorny	Drozdetsky			Glushkov				Kartsev	Liukin	Markovnikov	Nizhegorodov	Ovseyev	Pestov		Rozov	Sedov	Tolush		Vikulov			Yershov	Zhigalov
Adamishin	Bashkirov	Chubarov	Drozdov			Gnesin				Karyakin	Livanov	Marozava	Nogovitsyn	Ovsiyenko	Petin		Rubashkin	Seleznyov	Tomilin		Vinnikov			Yeryomin	Zhilin
Adamov	Bashmakov	Chudakov	Dryagin			Gnesina				Kasatkin	Lobanov	Marushkin	Nosik	Ovsyannikov	Petko		Rublev	Selivanov	Topilin		Vinogradov			Yesipenko	Zhiltsov
Adamovich	Baskakov	Chudin	Dubasov			Goldobin				Kashin	Lobov	Mashkov	Noskov	Ozarovsky	Petrov		Rudakov	Semak	Toporov		Vinokur			Yevdokimov	Zhilyayev
Adashev	Baskov	Chudinov	Dubinin			Golikov				Kashirin	Lodygin	Maslennikov	Nosov	Ozolin	Petrovsky		Rudnitsky	Semakin	Torlopov		Vinokurov			Yevseichev	Zhirkov
Adonyev	Basov	Chudov	Dubov			Goloshchekin				Kashkarov	Loginov	Maslov	Novgorodsky		Petukhov		Rukavishnikov	Senkevich	Travkin		Vintov			Yevsevyev	Zhirov
Adoratsky	Batalov	Chugunov	Dubovskoy			Golovachev				Kasparov	Logunov	Matveyev	Novikov		Petunin		Rumyantsev	Serafimov	Trefilov		Vishnevetsky			Yevseyenko	Zhitnikov
Adrianov	Batin	Chuikov	Dubrovin			Golovanov				Kasyanov	Lokshin	Mavrin	Novitsky		Pevtsov		Rusakov	Serebryakov	Trepov		Vishnevsky			Yevseyev	Zhmakin
Aduyev	Batishchev	Chukanov	Dudin			Golovatenko				Katsalapov	Loktev	Maximov	Novoselov		Pichugin		Rusanov	Seredin	Tretyakov		Vishnyakov			Yevsikov	Zhuk
Afanasyev	Baturin	Chulkov	Dudiyev			Golovin				Kaverin	Loktionov	Mazepin	Novoseltsev		Pinigin		Rusinov	Sergeyev	Trifonov		Vitiugov			Yevsyukov	Zhukov
Afinogenov	Baulin	Chupin	Dudka			Golovkin				Kaverina	Lomakin	Mechnikov	Novozhilov		Pirogov		Ruslyakov	Serov	Trofimov		Vladimirov			Yevsyunin	Zhukovsky
Afonin	Bautin	Churkin	Durakov			Golovnin				Kazakov	Lomonosov	Mednikov			Pirozhkov		Ryabov	Sevastyanov	Troshin		Vlasenko			Yolkin	Zhulin
Agafonov	Baykov	Covaliov	Dvorkin			Golubev				Kazakova	Lopatin	Medvedev			Pisarev		Rybak	Shabanov	Trotsky		Vlasov			Youzhny	Zhuravlyov
Agapitov	Bazanov		Dvornikov			Golubkin				Kazankin	Lopatkin	Melikhov			Pishchalnikov		Rybakov	Shadrin	Trufanov		Volchkov			Yudin	Zhurov
Agapov	Bazarov		Dyachkov			Golubov				Kazankov	Lopatov	Melkikh			Piskunov		Rybolovlev	Shagin	Trunov		Volkonsky			Yudkin	Zimin
Ageyenko	Bazhanov		Dyatel			Golubtsov				Kazantsev	Loshkaryov	Melnik			Pivovarov		Rykov	Shajn	Trusov		Volkov			Yumatov	Zingarevich
Ageyev	Bazhenov		Dyatlov			Golyshev				Kerzhakov	Loskutov	Melnikov			Pleshakov		Ryumin	Shakhov	Trutnev		Volkova			Yurasov	Zinoviev
Ageykin	Beglov		Dymov			Goncharov				Khabarov	Lovchev	Menkov			Pletnyov		Ryzhenkov	Shakhovsky	Tsallagov		Volnov			Yurenev	Zirinsky
Agibalov	Begun		Dyomin			Gorbachev				Khaimov	Lozhkin	Menshikov			Plotkin		Ryzhikh	Shakirov	Tsaplin		Volobuyev			Yurevich	Zlobin
Agin	Beketov		Dyshekov			Gorbatkov				Khalturin	Lugansky	Menshov			Plotnick		Ryzhikov	Shalimov	Tsaryov		Volodin			Yurin	Znamensky
Agish	Bekhterev		Dzhioyev			Gorbunov				Kharin	Lugin	Merzhanov			Plotnikov		Ryzhkin	Shalunov	Tselovalnikov		Voloshin			Yurkov	Zobnin
Agishev	Beklemishev					Gordeev				Kharitonov	Lukanin	Merzlikin			Pochinok		Ryzhov	Shamanov	Tsukanov		Volpin			Yurlov	Zolotaryov
Agranov	Belenky					Gorokhov				Kharlamov	Lukin	Merzlyakov			Podberyozkin			Shamov	Tsuranov		Volsky			Yushkevich	Zolotukhin
Agrenev	Beletski					Gorshkov				Khazov	Lukyanov	Meshcheryakov			Podshivalov			Shapkin	Tsvetayev		Vorobey			Yushkov	Zotov
Agrikolyansky	Belinsky					Gorsky				Khokhlov	Lunin	Meshkov			Pogonin			Shapovalov	Tsygan		Vorobyov			Yuzhin	Zubakov
Agureyev	Belkin					Goryachev				Chomsky	Lushnikov	Meskhiev			Pogorelov			Sharapov	Tsyganov		Voronin				Zubarev
Akatov	Belkov					Goryachkin				Khorkin	Luzgin	Metalnikov			Poistogov			Sharkov	Tumanov		Voronov				Zubkov
Akatyev	Belkovsky					Goryunov				Khromacheva	Luzhkov	Meyerovich			Poleshchuk			Sharonov	Tupikov		Voroshilov				Zuborev
Akbarov	Beloglazov					Govorov				Khromov	Luzin	Mezentsev			Polevoy			Sharov	Turchaninov		Vorotnikov				Zubov
Akentyev	Belous					Grachyov				Khromykh	Lyakhov	Mezhlauk			Polivanov			Shashkov	Turgenev		Vorozheykin				Zuikov
Akhatov	Belousov					Grankin				Khrushchev	Lyamin	Mezinov			Polonsky			Shatalov	Turov		Voskoboinikov				Zuyev
Akhmatova	Belov					Grebennikov				Khryukin	Lyapkin	Migunov			Polosin			Shatilov	Tyurin		Voyevodin				Zverev
Akimenko	Belozersky					Grebenshchikov				Khudyakov	Lyapunov	Mikhalyov			Poltoranin			Shatov	Tyutin		Voynov				Zvezdin
Akimov	Belozyorov					Gretzky				Kidyayev	Lyubimov	Mikhaylov			Polugaevsky			Shatsky			Vrubel				Zvyagin
Akinshin	Bely					Gridin				Kikin		Mikhaylovsky			Polukhin			Shchapov			Vyakhirev				Zvyagintsev
Aksakov	Belyak					Gridnev				Kirdyapkin		Milov			Polyakov			Shchedrin			Vyaltsev				Zykov
Aksanov	Belyakov					Grigorovich				Kireyev		Mineyev			Polyanin			Shcheglov			Vyazmikin				Zyuganov
Aksentyev	Belyayev					Grigoryev				Kirillov		Minin			Pomerantsev			Shchepkin			Vyrubov				Zyuzin
Aksinin	Belykh					Grinev				Kirilov		Minorsky			Ponomaryov			Shcherbachov			Vyshinsky				
Aksyonov	Berdnikov					Grinevsky				Kirpichenko		Mironov			Popkov			Shcherbakov							
Aksyutin	Berezin					Grinin				Kiselyov		Mirov			Popov			Shchukin							
Akulov	Berezovsky					Grischuk				Kislyakov		Mishin			Popović			Shchyotkin							
Akvilev	Berzin					Grishayev				Kisurin		Mitin			Portnov			Shepelev							
Albegov	Besov					Grishchenkov				Kletskov		Mitkin			Portnyagin			Shestakov							
Alborov	Bespalov					Grishin				Klimkin		Mitrofanov			Postnikov			Shestov							
Albov	Bessonov					Gromov				Klimovich		Mitrokhin			Potanin			Shevtsov							
Alchagirov	Bestuzhev					Groshev				Klitsov		Mochalov			Potapov			Shibanov							
Aleinikov	Bestuzhev-Ryumin					Grozdev				Klyushnikov		Mokhov			Potekhin			Shilin							
Aleksandrovich	Bezrukov					Grushin				Klyuyev		Molchan			Potemkin			Shilov							
Aleksenko	Bezukhov					Gruznov				Knizhnik		Molchanov			Potkin			Shipilov							
Alekseyenko	Bibikov					Gryaznov				Knyazev		Molotov			Povarnitsyn			Shipov							
Alekseyev	Bilibin					Gubanov				Knyazhnin		Monova			Povarov			Shipulin							
Aleshkovsky	Bilyaletdinov					Gubar				Kobyakov		Morev			Povetkin			Shirokov							
Alexandrov	Biryukov					Gubarev				Kobylin		Morgunov			Pozdnyakov			Shishkin							
Alexeyev	Biryulin					Gubkin				Kochergin		Morkovkin			Pozharsky			Shishkov							
Alfyorov	Blinov					Gudkov				Kochetkov		Morozevich			Prasolov			Shlykov							
Alikin	Bliznetsov					Gulyayev				Kochnev		Morozov			Preobrazhensky			Shmakov							
Alimov	Blokhin					Gunina				Kokhanov		Moskvin			Presnyakov			Shmelyov							
Alipov	Bobrov					Gureyev				Kokorin		Mostovoi			Pribylov			Shokhin							
Alishev	Bobylev					Gurilyov				Kokshin		Mozgov			Prigoda			Shubenkov							
Alliluyev	Bochkarev					Gurov				Kolesnikov		Mozhaev			Privalov			Shubin							
Alov	Bochkov					Guryanov				Kolesov		Muhadow			Prokofiev			Shukshin							
Alpatov	Bodrov					Gusarov				Kolganov		Mukhametshin			Prokopenko			Shulgin							
Altov	Bogachyov					Gusev				Kollontay		Mukhanov			Prokudin			Shumakov							
Alyokhin	Bogatyryov					Gushchin				Kolobov		Mukhin			Pronichev			Shumilin							
Ambrosov	Bogdanov					Guskov				Kolomeytsev		Mukov			Proshkin			Shumilov							
Amelin	Bogolyubov					Gustov				Kolosov		Muravyov			Protasov			Shustikov							
Amosov	Bogomazov					Gvozdev				Kolotov		Muromtsev			Protopopov			Shutov							
Ananko	Bogomolov					Gzovsky				Kolpakov		Musatov			Prozorov			Shvedov							
Andreikin	Boldyrev									Koltsov		Myagkov			Pshenichnikov			Sibiryakov							
Andreyev	Bolotin									Kolyada		Myasnikov			Puchkov			Sidelnikov							
Andreyevsky	Bolshunov									Komarov		Mylnikov			Pukhov			Sidikhin							
Andreyuk	Bondar									Kombarov		Mysin			Pushkaryov			Sidorenko							
Andreyushkin	Bondarev									Komissarov					Pushkov			Sidorkin							
Andrianov	Borisov									Komkov					Putilin			Sidorov							
Andrin	Borodin									Komov					Putin			Sigarev							
Andriyashev	Borodkin									Kondakov					Putintsev			Silantyev							
Andriyashin	Borodulin									Kondratiev					Puzanov			Silin							
Andronov	Borovkov									Konev								Simakov							
Anikeyev	Borovsky									Konkov								Simonov							
Anisimov	Bortkevich									Konnikov								Sinelnikov							
Anissimov	Bortnik									Kononenko								Sinitsyn							
Ankudinov	Bortnikov									Konovalov								Sinyavsky							
Annenkov	Bortsov									KonstantinBelov								Sirotkin							
Anosov	Bovin									Kontsedalov								Sitak							
Antipov	Boyarin									Konyayev								Sivkov							
Antomanov	Boyarsky									Konyshev								Sizov							
Antonov	Boykov									Konyukhov								Skalon							
Antonovich	Boytsov									Kopeikin								Skoblikov							
Antsiferov	Braginsky									Koptev								Skoblyakov							
Apalkov	Brazhnikov									Kopylov								Skok							
Apraksin	Brezhnev									Kopytin								Skokov							
Apukhtin	Brodsky									Korchagin								Skomorokhov							
Arakelov	Bronnikov									Korenev								Skornyakov							
Arapov	Brovin									Koreshkov								Skorobogatov							
Arbatov	Brusilov									Korkin								Skorokhodov							
Arbuzov	Brusnikin									Korobeynikov								Skryabin							
Arefyev	Bryukhankov									Korobkin								Skumin							
Argunov	Bryullov									Korobov								Skuratov							
Aristarkhov	Bryzgalov									Korolyov								Skvortsov							
Aristov	Budanov									Korotayev								Slavnov							
Arkhangelsky	Bugakov									Koroteyev								Sleptsov							
Arkhipov	Bugayev									Korotkikh								Slesarev							
Aronin	Bukharov									Korotkov								Slutsky							
Aronov	Bulanov									Korovin								Smertin							
Artamonov	Bulatov									Korovkin								Smetanin							
Artemyev	Buldakov									Korsakov								Smirnov							
Artyomov	Bulgakov									Korshunov								Smolenskin							
Arzhanov	Bulkin									Korsunov								Smolensky							
Asanbayev	Bulykin									Kosarev								Smolov							
Aseyev	Bumagin									Kosenkov								Smorchkov							
Asimov	Bunin									Koshelev								Smyshlyaev							
Astafyev	Burakov									Koshkin								Smyslov							
Astakhov	Burayev									Kosinov								Snetkov							
Aulichev	Burkin									Kosintsev								Sobolev							
Avdeyev	Burlak									Kosmodemyansky								Sobolevsky							
Avdonin	Burov									Kosov								Sobyanin							
Avdyunin	But									Kosoy								Sokoloff							
Averin	Butin									Kosteniuk								Sokolov							
Averkiyev	Butov									Kostin								Sokolovsky							
Averyanov	Buturlin									Kostomarov								Sokolsky							
Avilov	Butusov									Kostrov								Sokov							
Avksentyev	Butuzov									Kostylev								Soldatov							
Avseyenko	Byakov									Kotlov								Solntsev							
Avshalomov	Bychkov									Kotlyarov								Solodov							
Avtonomov	Bykov									Kotov								Solodukhin							
Avvakumov	Bykova									Kovalchuk								Solotaroff							
Aydarov	Bykovsky									Kovalevich								Soloveitchik							
Ayedonitsky	Bystrov									Kovalevsky								Solovyov							
Azanchevsky										Kovalyov								Somov							
Azarin										Kovalyuk								Sontsov							
Azarov										Kovylin								Sorkin							
Azhnakin										Kozhanov								Sorokin							
Azimov										Kozhemyaka								Sosin							
Azovskiy										Kozhemyakin								Soskin							
										Kozhevnikov								Sozin							
										Kozhin								Stakhanov							
										Kozhukhov								Stanev							
										Kozin								Starchevsky							
										Kozlov								Starikov							
										Kozlovsky								Starodubtsev							
										Kozyrev								Startsev							
										Kramnik								Stepankov							
										Krasikov								Stepanov							
										Krasilnikov								Stepanovich							
										Krasnykh								Stogov							
										Krasovsky								Stolnikov							
										Kravkov								Stolyar							
										Kravtsov								Stolyarov							
										Krichevsky								Strakhov							
										Krikunov								Strelkov							
										Krivchenkov								Strelnikov							
										Kriventsov								Streltsov							
										Krivonosov								Strutinsky							
										Krivosheyev								Stukalov							
										Krivov								Stulov							
										Kruglov								Subbotin							
										Krupin								Suchkov							
										Krupnykh								Sukhanov							
										Krushelnitskiy								Sukharev							
										Krutov								Sukhorukov							
										Kryuchkov								Sukhov							
										Kryukov								Sumarokov							
										Kublanov								Surkov							
										Kucherov								Surov							
										Kuchin								Sushkin							
										Kudashov								Sushkov							
										Kudinov								Suslov							
										Kudrin								Suvorov							
										Kudryashov								Svechnikov							
										Kuklev								Sverdlov							
										Kuklin								Svetlanov							
										Kuksov								Sviridov							
										Kukushkin								Svitolina							
										Kulagin								Sychyov							
										Kulakov								Syomkin							
										Kulemin								Sysoyev							
										Kuleshov															
										Kulichkova															
										Kulikov															
										Kulikovsky															
										Kulyov															
										Kumantsov															
										Kupriyanov															
										Kuptsov															
										Kuragin															
										Kurakin															
										Kurasov															
										Kurbatov															
										Kuritsyn															
										Kurkov															
										Kurnakov															
										Kurnosov															
										Kurzanov															
										Kusakin															
										Kuskov															
										Kustov															
										Kutepov															
										Kutuzov															
										Kuvaev															
										Kuzin															
										Kuzmin															
										Kuznets															
										Kuznetsov															
										Kvashnin															
										Kvasov															
										Kvint															
